Tên di tích,Địa điểm,Loại di tích,Đường dẫn hình ảnh,Mô tả
Khu trung tâm Hoàng thành Thăng Long - Hà Nội,"Quận Ba Đình,thành phố Hà Nội","Di tích lịch sử,khảo cổ",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Citadelle_de_Hano%C3%AF_%283%29.jpg/250px-Citadelle_de_Hano%C3%AF_%283%29.jpg,"Hoàng thành Thăng Long (chữ Hán:昇龍皇城;Hán-Việt:Thăng Long Hoàng thành) là quần thể di tích gắn với lịch sử kinh thành Thăng Long - Đông Kinh và tỉnh thành Hà Nội bắt đầu từ thời kì tiền Thăng Long (An Nam đô hộ phủ thế kỷ VII) qua thời Đinh - Tiền Lê,phát triển mạnh dưới thời Lý,Trần,Lê và thành Hà Nội dưới triều Nguyễn.Đây là công trình kiến trúc các triều vua xây dựng trong nhiều giai đoạn lịch sử và trở thành một trong những di tích quan trọng bậc nhất trong hệ thống các di tích Việt Nam."
Vườn quốc gia Phong Nha - Kẻ Bàng,"Huyện Bố Trạch và huyện Minh Hóa,tỉnh Quảng Bình","Di tích lịch sử,danh lam thắng cảnh",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Phongnhakebang6.jpg/250px-Phongnhakebang6.jpg,"Vườn quốc gia Phong Nha – Kẻ Bàng là một vườn quốc gia của Việt Nam,nằm tại huyện Bố Trạch và Minh Hóa,tỉnh Quảng Bình,cách thành phố Đồng Hới khoảng 50 km về phía Tây Bắc,cách thủ đô Hà Nội khoảng 500 km về phía nam.Vườn quốc gia này giáp khu bảo tồn thiên nhiên Hin Namno ở tỉnh Khammouan,Lào về phía tây;cách Biển Đông 42 km về phía đông kể từ đường biên giới của vườn quốc gia này."
Chiến trường Điện Biên Phủ,"Thành phố Điện Biên Phủ,huyện Điện Biên và huyện Tuần Giáo,tỉnh Điện Biên",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/H%E1%BA%A7m_ch%E1%BB%89_huy_c%E1%BB%A9_%C4%91i%E1%BB%83m_%C4%90i%E1%BB%87n_Bi%C3%AAn_Ph%E1%BB%A7.jpg/180px-H%E1%BA%A7m_ch%E1%BB%89_huy_c%E1%BB%A9_%C4%91i%E1%BB%83m_%C4%90i%E1%BB%87n_Bi%C3%AAn_Ph%E1%BB%A7.jpg,"Di tích là dấu vết của quá khứ còn lưu lại trong lòng đất hoặc trên mặt đất có ý nghĩa về mặt văn hóa và lịch sử"".Ở Việt Nam,một di tích khi đủ các điều kiện sẽ được công nhận theo thứ tự:di tích cấp tỉnh,di tích cấp quốc gia và di tích quốc gia đặc biệt.Di tích quốc gia đặc biệt là những di tích Việt Nam có giá trị đặc biệt tiêu biểu của quốc gia.Di tích quốc gia đặc biệt do Thủ tướng Chính phủ quyết định xếp hạng trên cơ sở lựa chọn các di tích quan trọng đã được Bộ Văn hóa,Thể thao và Du lịch xếp hạng là di tích quốc gia,lần xếp hạng đầu tiên là vào năm 2009."
Quần thể di tích Cố đô Huế,"Thành phố Huế,thị xã Hương Thủy,thị xã Hương Trà,huyện Phú Vang,huyện Phú Lộc,tỉnh Thừa Thiên Huế","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Ho%C3%A0ng_th%C3%A0nh_Hu%E1%BA%BF.jpg/250px-Ho%C3%A0ng_th%C3%A0nh_Hu%E1%BA%BF.jpg,"Quần thể di tích Cố đô Huế hay Quần thể kiến trúc cố đô Huế là những di tích lịch sử - văn hóa do triều Nguyễn chủ trương xây dựng trong khoảng thời gian từ đầu thế kỷ 19 đến nửa đầu thế kỷ 20 trên địa bàn kinh đô Huế xưa;nay thuộc phạm vi thành phố Huế,Việt Nam.Phần lớn các di tích này nay thuộc sự quản lý của Trung tâm Bảo tồn Di tích Cố đô Huế và được UNESCO công nhận là Di sản Văn hoá Thế giới vào ngày 11 tháng 12 năm 1993.Hiện tại,cố đô Huế đã được thủ tướng chính phủ Việt Nam đưa vào danh sách xếp hạng 130 di tích quốc gia đặc biệt quan trọng.Quần thể di tích Cố đô Huế có thể phân chia thành các cụm công trình gồm các cụm công trình ngoài Kinh thành Huế và trong kinh thành Huế."
Khu lưu niệm Chủ tịch Hồ Chí Minh tại Phủ Chủ tịch,"Quận Ba Đình,thành phố Hà Nội",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ho_Chi_Minh%27s_Stilt_House%2C_Hanoi_%282%29_%2824622695398%29.jpg/250px-Ho_Chi_Minh%27s_Stilt_House%2C_Hanoi_%282%29_%2824622695398%29.jpg,"Khu di tích Chủ tịch Hồ Chí Minh tại Phủ Chủ tịch,gọi tắt là Khu di tích Phủ Chủ tịch tại Hà Nội,là nơi sống và làm việc lâu nhất của Chủ tịch Hồ Chí Minh (từ 19 tháng 12 năm 1954 đến 2 tháng 9 năm 1969),được Bộ Văn hóa Thông tin ra Quyết định xếp hạng là Khu di tích ngày 15 tháng 5 năm 1975.Hiện nay,nơi đây đã được thủ tướng chính phủ Việt Nam đưa vào danh sách xếp hạng 23 di tích quốc gia đặc biệt."
Dinh Độc Lập,"Quận 1,Thành phố Hồ Chí Minh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Palacio_de_la_Reunificaci%C3%B3n%2C_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_03.JPG/250px-Palacio_de_la_Reunificaci%C3%B3n%2C_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_03.JPG,"Dinh Độc Lập là một tòa nhà của nhà nước tại Thành phố Hồ Chí Minh,từng là nơi ở và làm việc của Tổng thống Việt Nam Cộng hòa trước Sự kiện 30 tháng 4 năm 1975.Hiện nay,Dinh Độc Lập đã được Chính phủ Việt Nam xếp hạng là di tích quốc gia đặc biệt.Cơ quan quản lý di tích văn hoá Dinh Độc Lập có tên là Hội trường Thống Nhất thuộc Văn phòng Chính phủ."
Đền Hùng,"Thành phố Việt Trì,huyện Lâm Thao,huyện Phù Ninh,tỉnh Phú Thọ",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/%C4%90%C6%B0%E1%BB%9Dng_l%C3%AAn_%C4%90%E1%BB%81n_H%C3%B9ng_-_panoramio.jpg/250px-%C4%90%C6%B0%E1%BB%9Dng_l%C3%AAn_%C4%90%E1%BB%81n_H%C3%B9ng_-_panoramio.jpg,"Đền Hùng (Tên chữ:Hùng Vương miếu) là tên gọi khái quát của Khu di tích lịch sử Đền Hùng - quần thể đền chùa thờ phụng các Vua Hùng và tôn thất của nhà vua trên núi Nghĩa Lĩnh (Việt Trì,Phú Thọ),xưa thuộc xã Hy Cương,huyện Sơn Vi,gắn với Giỗ Tổ Hùng Vương - Lễ hội Đền Hùng được tổ chức tại địa điểm đó hàng năm vào ngày 10 tháng 3 âm lịch.Hiện nay,theo các tài liệu khoa học đã công bố đa số đều thống nhất nền móng kiến trúc đền Hùng bắt đầu được xây dựng từ thời vua Đinh Tiên Hoàng trị vì.Đến thời Hậu Lê (thế kỷ 15) được xây dựng hoàn chỉnh theo quy mô như hiện tại."
Cố đô Hoa Lư,"Thành phố Hoa Lư,tỉnh Ninh Bình","Di tích lịch sử,kiến trúc nghệ thuật",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Temple_comm%C3%A9moratif_au_roi_Dinh_Tien_Hoang_%28Hoa_Lu%29.jpg/250px-Temple_comm%C3%A9moratif_au_roi_Dinh_Tien_Hoang_%28Hoa_Lu%29.jpg,"Cố đô Hoa Lư (chữ Hán:華閭) là kinh đô của Việt Nam trong giai đoạn 968-1010.Đây là kinh đô đầu tiên của nhà nước phong kiến Trung ương tập quyền ở Việt Nam và là quê hương của vị Anh hùng dân tộc Đinh Bộ Lĩnh.Kinh đô Hoa Lư tồn tại 42 năm,gắn với sự nghiệp của ba triều đại liên tiếp là nhà Đinh,nhà Tiền Lê và nhà Lý với các dấu ấn lịch sử:thống nhất đất nước,đánh Tống - dẹp Chiêm và phát tích quá trình định đô Hà Nội.Năm 1010 vua Lý Thái Tổ dời kinh đô từ Hoa Lư (Ninh Bình) về Thăng Long (Hà Nội),Hoa Lư trở thành Cố đô.Các triều vua Lý,Trần,Lê,Nguyễn sau đó dù không đóng đô ở Hoa Lư nữa nhưng vẫn cho tu bổ và xây dựng thêm ở đây nhiều công trình kiến trúc như đền,lăng,đình,chùa,phủ,...Hiện nay,Cố đô Hoa Lư vẫn còn nhiều di tích nằm trong Quần thể di sản thế giới Tràng An thuộc địa bàn tỉnh Ninh Bình."
Khu lưu niệm Chủ tịch Tôn Đức Thắng tại Mỹ Hòa Hưng,"Thành phố Long Xuyên,tỉnh An Giang",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Nh%C3%A0_th%E1%BB%9Di_ni%C3%AAn_thi%E1%BA%BFu_c%E1%BB%A7a_T%C3%B4n_%C4%90%E1%BB%A9c_Th%E1%BA%AFng.jpg/250px-Nh%C3%A0_th%E1%BB%9Di_ni%C3%AAn_thi%E1%BA%BFu_c%E1%BB%A7a_T%C3%B4n_%C4%90%E1%BB%A9c_Th%E1%BA%AFng.jpg,"Khu lưu niệm Chủ tịch Tôn Đức Thắng tọa lạc trên cù lao Ông Hổ,thuộc xã Mỹ Hòa Hưng,thành phố Long Xuyên,tỉnh An Giang.Đây là một trong số 23 di tích Việt Nam đã được xếp hạng di tích quốc gia đặc biệt (ký ngày 10 tháng 5 năm 2012,công bố ngày 17 tháng 7 năm 2012)."
Căn cứ Trung ương cục miền Nam,"Huyện Tân Biên,tỉnh Tây Ninh",Di tích lịch sử,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Natural_landmark_without_photo.svg/250px-Natural_landmark_without_photo.svg.png,Cờ của Mặt trận Dân tộc Giải phóng miền Nam Việt Nam
